start_airport,start_icao,end_airport,end_icao,route_name,route_passengers,start_pax_total,end_pax_total,start_pax_pct,year,data_quality
Schwechat,LOWW,Bari,LIBD,Schwechat - Bari,89631,31258901,5464123,0.29,2019,complete
Schwechat,LOWW,Catania Fontanarossa,LICC,Schwechat - Catania Fontanarossa,104259,31258901,9740700,0.33,2019,complete
Schwechat,LOWW,Palermo,LICJ,Schwechat - Palermo,14725172.715078998,31258901,6936607,NA,2019,complete
Schwechat,LOWW,Bergamo Orio Al Serio,LIME,Schwechat - Bergamo Orio Al Serio,114810,31258901,13600898,0.37,2019,complete
Schwechat,LOWW,Linate,LIML,Schwechat - Linate,14293056.126104208,31258901,6535465,NA,2019,complete
Schwechat,LOWW,Bologna,LIPE,Schwechat - Bologna,182491,31258901,9338293,0.58,2019,complete
Schwechat,LOWW,Marco Polo di Tessera,LIPZ,Schwechat - Marco Polo di Tessera,181525,31258901,11454860,0.58,2019,complete
Schwechat,LOWW,Capodichino,LIRN,Schwechat - Capodichino,141845,31258901,10387667,0.45,2019,complete
Schwechat,LOWW,Peretola,LIRQ,Schwechat - Peretola,9455688.94066461,31258901,2860307,NA,2019,complete
Schwechat,LOWW,Vilnius Intl,EYVI,Schwechat - Vilnius Intl,NA,31258901,NA,NA,2019,missing_end_pax
Schwechat,LOWW,Luxembourg,ELLX,Schwechat - Luxembourg,124512,31258901,NA,0.4,2019,missing_end_pax
Schwechat,LOWW,Riga Intl,EVRA,Schwechat - Riga Intl,133874,31258901,NA,0.43,2019,missing_end_pax
Schwechat,LOWW,Podgorica,LYPG,Schwechat - Podgorica,86933,31258901,NA,0.28,2019,missing_end_pax
Schwechat,LOWW,Alexaner The Great,LWSK,Schwechat - Alexaner The Great,136072,31258901,NA,0.44,2019,missing_end_pax
Schwechat,LOWW,Luqa,LMML,Schwechat - Luqa,138198,31258901,NA,0.44,2019,missing_end_pax
Schwechat,LOWW,Eindhoven,EHEH,Schwechat - Eindhoven,14519349.073300324,31258901,6744047,NA,2019,complete
Schwechat,LOWW,Rotterdam,EHRD,Schwechat - Rotterdam,7788719.353699939,31258901,1940700,NA,2019,complete
Schwechat,LOWW,Gardermoen,ENGM,Schwechat - Gardermoen,172412,31258901,NA,0.55,2019,missing_end_pax
Schwechat,LOWW,Porto,LPPR,Schwechat - Porto,NA,31258901,NA,NA,2019,missing_end_pax
Schwechat,LOWW,Lisboa,LPPT,Schwechat - Lisboa,335342,31258901,NA,1.07,2019,missing_end_pax
Schwechat,LOWW,Beograd,LYBE,Schwechat - Beograd,212412,31258901,NA,0.68,2019,missing_end_pax
Schwechat,LOWW,Nis,LYNI,Schwechat - Nis,NA,31258901,NA,NA,2019,missing_end_pax
Schwechat,LOWW,Landvetter,ESGG,Schwechat - Landvetter,NA,31258901,NA,NA,2019,missing_end_pax
Schwechat,LOWW,Arlanda,ESSA,Schwechat - Arlanda,264672,31258901,NA,0.85,2019,missing_end_pax
Schwechat,LOWW,Ljubljana,LJLJ,Schwechat - Ljubljana,NA,31258901,NA,NA,2019,missing_end_pax
Schwechat,LOWW,Manchester,EGCC,Schwechat - Manchester,116876,31258901,26895408,0.37,2019,complete
Schwechat,LOWW,Luton,EGGW,Schwechat - Luton,23695318.70542078,31258901,17961864,NA,2019,complete
Schwechat,LOWW,Edinburgh,EGPH,Schwechat - Edinburgh,21297676.028005473,31258901,14510779,NA,2019,complete
Schwechat,LOWW,Stansted,EGSS,Schwechat - Stansted,232968,31258901,27745806,0.75,2019,complete
Frankfurt Main,EDDF,Tirana Rinas,LATI,Frankfurt Main - Tirana Rinas,125795,70066509,NA,0.18,2019,missing_end_pax
Frankfurt Main,EDDF,Graz,LOWG,Frankfurt Main - Graz,237075,70066509,899161,0.34,2019,complete
Frankfurt Main,EDDF,Innsbruck,LOWI,Frankfurt Main - Innsbruck,167732,70066509,949950,0.24,2019,complete
Frankfurt Main,EDDF,Blue Danube,LOWL,Frankfurt Main - Blue Danube,177371,70066509,256536,0.25,2019,complete
Frankfurt Main,EDDF,Wolfgang A. Mozart,LOWS,Frankfurt Main - Wolfgang A. Mozart,226645,70066509,1479739,0.32,2019,complete
Frankfurt Main,EDDF,Schwechat,LOWW,Frankfurt Main - Schwechat,1106632,70066509,31258901,1.58,2019,complete
